Month,sunscreen
2004-01,4
2004-02,5
2004-03,7
2004-04,9
2004-05,10
2004-06,13
2004-07,11
2004-08,8
2004-09,5
2004-10,4
2004-11,4
2004-12,3
2005-01,5
2005-02,6
2005-03,7
2005-04,9
2005-05,12
2005-06,15
2005-07,14
2005-08,8
2005-09,7
2005-10,4
2005-11,3
2005-12,4
2006-01,5
2006-02,5
2006-03,6
2006-04,8
2006-05,13
2006-06,17
2006-07,15
2006-08,9
2006-09,7
2006-10,4
2006-11,4
2006-12,5
2007-01,5
2007-02,5
2007-03,8
2007-04,9
2007-05,13
2007-06,16
2007-07,14
2007-08,10
2007-09,6
2007-10,4
2007-11,4
2007-12,3
2008-01,3
2008-02,5
2008-03,7
2008-04,9
2008-05,11
2008-06,13
2008-07,15
2008-08,8
2008-09,5
2008-10,4
2008-11,4
2008-12,3
2009-01,4
2009-02,4
2009-03,6
2009-04,9
2009-05,11
2009-06,10
2009-07,11
2009-08,7
2009-09,5
2009-10,4
2009-11,3
2009-12,3
2010-01,3
2010-02,4
2010-03,6
2010-04,7
2010-05,12
2010-06,16
2010-07,11
2010-08,6
2010-09,5
2010-10,3
2010-11,3
2010-12,2
2011-01,5
2011-02,6
2011-03,6
2011-04,12
2011-05,17
2011-06,22
2011-07,19
2011-08,11
2011-09,7
2011-10,5
2011-11,4
2011-12,4
2012-01,5
2012-02,5
2012-03,8
2012-04,12
2012-05,20
2012-06,22
2012-07,17
2012-08,13
2012-09,9
2012-10,6
2012-11,4
2012-12,4
2013-01,5
2013-02,7
2013-03,11
2013-04,16
2013-05,19
2013-06,22
2013-07,18
2013-08,13
2013-09,10
2013-10,7
2013-11,5
2013-12,5
2014-01,7
2014-02,7
2014-03,12
2014-04,16
2014-05,23
2014-06,24
2014-07,25
2014-08,15
2014-09,11
2014-10,8
2014-11,5
2014-12,5
2015-01,6
2015-02,8
2015-03,13
2015-04,15
2015-05,18
2015-06,27
2015-07,27
2015-08,20
2015-09,12
2015-10,9
2015-11,7
2015-12,6
2016-01,7
2016-02,12
2016-03,13
2016-04,17
2016-05,19
2016-06,31
2016-07,26
2016-08,17
2016-09,12
2016-10,9
2016-11,7
2016-12,6
2017-01,7
2017-02,9
2017-03,17
2017-04,23
2017-05,30
2017-06,36
2017-07,32
2017-08,17
2017-09,17
2017-10,11
2017-11,9
2017-12,8
2018-01,10
2018-02,14
2018-03,15
2018-04,27
2018-05,32
2018-06,39
2018-07,40
2018-08,22
2018-09,15
2018-10,12
2018-11,11
2018-12,10
2019-01,12
2019-02,13
2019-03,19
2019-04,34
2019-05,34
2019-06,48
2019-07,44
2019-08,32
2019-09,19
2019-10,14
2019-11,13
2019-12,11
2020-01,14
2020-02,19
2020-03,13
2020-04,21
2020-05,36
2020-06,38
2020-07,39
2020-08,31
2020-09,20
2020-10,15
2020-11,13
2020-12,17
2021-01,18
2021-02,22
2021-03,35
2021-04,51
2021-05,50
2021-06,68
2021-07,82
2021-08,45
2021-09,29
2021-10,18
2021-11,20
2021-12,17
2022-01,22
2022-02,36
2022-03,48
2022-04,57
2022-05,65
2022-06,77
2022-07,76
2022-08,57
2022-09,42
2022-10,28
2022-11,27
2022-12,22
2023-01,29
2023-02,35
2023-03,41
2023-04,78
2023-05,69
2023-06,81
2023-07,99
2023-08,58
2023-09,40
2023-10,34
2023-11,35
2023-12,29
2024-01,37
2024-02,36
2024-03,49
2024-04,69
2024-05,78
2024-06,100
2024-07,91
2024-08,62
2024-09,45
2024-10,34
2024-11,31
2024-12,28
