t2m,year
296.3862,1941
296.23434,1942
295.7434,1943
296.36118,1944
296.1116,1945
296.65326,1946
296.64005,1947
296.40958,1948
295.68466,1949
295.47122,1950
295.60876,1951
295.6451,1952
295.30893,1953
296.39392,1954
296.2342,1955
296.16098,1956
296.45456,1957
296.8219,1958
296.52536,1959
296.63992,1960
295.95737,1961
296.05643,1962
296.51086,1963
296.4986,1964
296.44833,1965
296.50427,1966
296.43845,1967
296.2643,1968
296.93723,1969
296.42435,1970
296.03317,1971
296.71155,1972
296.76456,1973
296.52924,1974
296.16663,1975
296.52734,1976
296.59103,1977
296.30566,1978
296.93683,1979
296.90997,1980
296.43973,1981
296.42996,1982
296.2056,1983
296.43118,1984
296.7203,1985
296.5413,1986
296.99542,1987
296.92422,1988
296.35522,1989
296.3624,1990
296.5836,1991
296.48514,1992
296.63882,1993
296.53226,1994
296.73264,1995
296.63242,1996
296.178,1997
296.88538,1998
296.7972,1999
296.65472,2000
296.7392,2001
297.08606,2002
296.81915,2003
296.8745,2004
296.79608,2005
297.0606,2006
296.9358,2007
296.69888,2008
297.41098,2009
297.366,2010
296.72656,2011
296.81644,2012
296.64926,2013
296.86966,2014
297.14175,2015
297.54263,2016
297.40573,2017
297.196,2018
297.14886,2019
296.87018,2020
296.98154,2021
297.15936,2022
297.155,2023
297.45203,2024
